event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,M,Olympics,2008,table_14,5,6,Sandro Viana,,,,Brazil,,,10.6,0.16,
100m,M,Olympics,2008,table_14,7,7,Lai Chun Ho,,,,Hong Kong,,,10.63,0.199,
100m,M,Olympics,2008,table_14,8,8,Mohamed Abu Abdullah,,,,Bangladesh,,,11.07,0.174,
100m,M,Olympics,2008,table_15,6,1,Samuel Francis,,,,Qatar,,,10.40 DSQ,0.153,
100m,M,Olympics,2008,table_15,5,2,Marc Burns,,,,Trinidad and Tobago,,,10.46,0.16,
100m,M,Olympics,2008,table_15,9,3,Matic Osovnikar,,,,Slovenia,,,10.46,0.187,
100m,M,Olympics,2008,table_15,7,4,Rolando Palacios,,,,Honduras,,,10.49,0.189,
100m,M,Olympics,2008,table_15,2,5,Ruslan Abbasov,,,,Azerbaijan,,,10.58,0.154,
100m,M,Olympics,2008,table_15,4,6,Sébastien Gattuso,,,,Monaco,,,10.7,0.164,
100m,M,Olympics,2008,table_15,8,7,Jack Howard,,,,Federated States of Micronesia,,,11.03,0.204,
100m,M,Olympics,2008,table_15,3,8,Gordon Heather,,,,Cook Islands,,,11.41,0.214,
100m,M,Olympics,2008,table_16,4,1,Churandy Martina,,,,Netherlands Antilles,,,10.35,0.164,
100m,M,Olympics,2008,table_16,5,2,Naoki Tsukahara,,,,Japan,,,10.39,0.169,
100m,M,Olympics,2008,table_16,6,3,Simeon Williamson,,,,Great Britain,,,10.42,0.183,
100m,M,Olympics,2008,table_16,9,4,Tobias Unger,,,,Germany,,,10.46,0.161,
100m,M,Olympics,2008,table_16,8,5,Franklin Nazareno,,,,Ecuador,,,10.6,0.178,
100m,M,Olympics,2008,table_16,7,6,Wilfried Bingangoye,,,,Gabon,,,10.87,0.171,
100m,M,Olympics,2008,table_16,2,7,Moumi Sebergue,,,,Chad,,,11.14,0.21,
100m,M,Olympics,2008,table_16,3,8,Okilani Tinilau,,,,Tuvalu,,,11.48,0.174,
100m,M,Olympics,2008,table_17,4,1,Churandy Martina,,,,Netherlands Antilles,,,9.99,0.142,
100m,M,Olympics,2008,table_17,7,2,Michael Frater,,,,Jamaica,,,10.09,0.154,
100m,M,Olympics,2008,table_17,6,3,Naoki Tsukahara,,,,Japan,,,10.23,0.156,
100m,M,Olympics,2008,table_17,9,4,Simeon Williamson,,,,Great Britain,,,10.32,0.127,
100m,M,Olympics,2008,table_17,3,5,Henry Vizcaíno,,,,Cuba,,,10.33,0.167,
100m,M,Olympics,2008,table_17,5,6,Pierre Browne,,,,Canada,,,10.36,0.144,
100m,M,Olympics,2008,table_17,2,7,Dariusz Kuć,,,,Poland,,,10.46,0.176,
100m,M,Olympics,2008,table_17,8,8,Darrel Brown,,,,Trinidad and Tobago,,,10.93,0.119,
100m,M,Olympics,2008,table_18,6,1,Richard Thompson,,,,Trinidad and Tobago,,,9.99,0.17,
100m,M,Olympics,2008,table_18,4,2,Tyson Gay,,,,United States,,,10.09,0.146,
100m,M,Olympics,2008,table_18,7,3,Martial Mbandjock,,,,France,,,10.16,0.16,
100m,M,Olympics,2008,table_18,5,4,Olusoji A. Fasuba,,,,Nigeria,,,10.21,0.147,
100m,M,Olympics,2008,table_18,2,5,Andrew Hinds,,,,Barbados,,,10.25,0.148,
100m,M,Olympics,2008,table_18,8,6,José Carlos Moreira,,,,Brazil,,,10.32,0.193,
100m,M,Olympics,2008,table_18,9,7,Simone Collio,,,,Italy,,,10.33,0.138,
100m,M,Olympics,2008,table_18,3,8,Daniel Grueso,,,,Colombia,,,10.37,0.193,
100m,M,Olympics,2008,table_19,6,1,Marc Burns,,,,Trinidad and Tobago,,,10.05,0.174,
100m,M,Olympics,2008,table_19,4,2,Kim Collins,,,,Saint Kitts and Nevis,,,10.07,0.15,
100m,M,Olympics,2008,table_19,5,3,Tyrone Edgar,,,,Great Britain,,,10.1,0.13,
100m,M,Olympics,2008,table_19,7,4,Samuel Francis,,,,Qatar,,,10.11 DSQ,0.164,
100m,M,Olympics,2008,table_19,9,5,Ronald Pognon,,,,France,,,10.21,0.167,
100m,M,Olympics,2008,table_19,8,6,Matic Osovnikar,,,,Slovenia,,,10.24,0.171,
100m,M,Olympics,2008,table_19,2,7,Tobias Unger,,,,Germany,,,10.36,0.136,
